OrderID	Date	Product	Region	Sales	Profit
2876	08:14.2	Phone	London	68	157
1558	08:26.0	Laptop	Manchester	365	134
5313	08:27.2	Tablet	Birmingham	106	17
5801	08:27.8	Laptop	Birmingham	245	10
4118	08:29.3	Phone	Birmingham	115	40
5086	08:30.2	Tablet	Leeds	405	161
9996	08:31.1	Tablet	Manchester	126	186
7359	08:32.2	Headphones	Birmingham	116	0
4960	08:33.2	Tablet	London	65	119
6652	08:34.2	Headphones	London	149	53
6017	08:35.2	Laptop	Birmingham	182	132
6432	08:36.2	Tablet	Birmingham	327	107
7698	08:37.2	Tablet	Leeds	364	15
4908	08:38.1	Headphones	Birmingham	466	36
1779	08:39.1	Laptop	Leeds	388	131
9158	08:39.8	Laptop	Leeds	387	155
4823	08:41.3	Laptop	Birmingham	338	58
4443	08:42.6	Tablet	Manchester	465	26
3473	08:43.5	Laptop	Leeds	148	172
6619	08:44.3	Phone	London	420	178
6336	08:45.2	Headphones	Birmingham	273	-26
3281	08:45.8	Tablet	Leeds	366	10
1532	08:46.5	Phone	London	189	75
4924	08:47.2	Laptop	Manchester	307	189
3705	08:47.9	Laptop	Manchester	335	139
2537	08:48.5	Phone	Leeds	287	142
2662	08:49.3	Phone	London	191	14
2857	08:50.0	Laptop	Leeds	322	17
9155	08:50.7	Tablet	Manchester	320	180
3563	08:51.3	Tablet	Birmingham	286	127
6276	08:51.9	Headphones	London	486	61
6654	08:52.5	Headphones	London	216	32
9833	08:53.5	Laptop	Leeds	274	60
5427	08:54.2	Tablet	Birmingham	398	-39

